Player,Primary_Position,Pos,Age,G,MP,Offensive_Score,Defensive_Score,Teamwork_Score,Stamina_Score,Overall_Score,Salary_2023_2024,Value_Score
Aaron Gordon,PF,PF,28,73.0,31.5,70.26,64.59,78.1,73.82,71.51,22841455,3.13
Jalen Green,SG,SG,21,82.0,31.700000000000003,62.56,68.44,74.75,84.67,71.5,12483048,5.73
Desmond Bane,SG,SG,25,42.0,34.4,74.67,53.18,84.75,69.59,70.8,34005250,2.08
Austin Reaves,SG,SG,25,82.0,32.1,66.5,54.41,80.55,85.06,70.7,12976362,5.45
Cade Cunningham,PG,PG,22,62.0,33.5,66.48,55.34,87.19,75.39,70.65,13940809,5.07
CJ McCollum,PG,PG,32,66.0,32.7,69.98,62.74,82.21,66.61,70.55,33333333,2.12
Nick Richards,C,C,26,67.0,26.3,79.62,73.99,58.73,65.97,70.26,5000000,14.05
D'Angelo Russell,PG,PG,27,76.0,32.7,64.06,50.1,84.92,85.77,70.13,18692307,3.75
Grayson Allen,SG,SG,28,75.0,33.5,69.52,57.5,76.63,76.49,69.69,15625000,4.46
Isaiah Hartenstein,C,C,25,75.0,25.3,64.72,83.55,63.87,66.95,69.66,30000000,2.32
Tyler Herro,SG,SG,24,42.0,33.5,66.14,63.04,81.3,68.12,69.55,29000000,2.4
Walker Kessler,C,C,22,64.0,23.3,68.47,98.19,56.3,50.58,69.28,2965920,23.36
Jakob Poeltl,C,C,28,50.0,26.4,70.21,85.7,65.81,51.61,69.26,19500000,3.55
Terry Rozier,PG,PG,29,45.75409836065574,33.43360655737705,68.82,59.61,86.3,60.45,69.21,24924126,2.78
Jusuf Nurkic,C,C,29,76.0,27.3,46.45,100.0,68.22,64.86,68.96,18125000,3.8
Tyus Jones,PG,PG,27,66.0,29.3,60.31,58.11,87.15,71.82,68.77,2087519,32.94
Josh Hart,SF,SF,28,81.0,33.4,44.22,84.32,79.89,72.23,68.76,18144000,3.79
Herbert Jones,SF,SF,25,76.0,30.5,64.29,57.8,71.4,84.3,68.45,12976362,5.27
Jrue Holiday,PG,PG,33,69.0,32.8,54.35,73.37,80.37,67.51,68.24,30000000,2.27
Saddiq Bey,SF,SF,24,63.0,32.7,62.5,59.19,77.5,76.5,68.22,6440678,10.59
Dereck Lively II,C,C,19,55.0,23.5,80.79,74.91,58.39,53.25,68.21,5014560,13.6
Trey Murphy III,SF,SF,23,57.0,29.6,69.89,70.91,75.01,53.61,68.17,5159854,13.21
Bradley Beal,SG,SG,30,53.0,33.3,69.15,56.11,80.42,64.56,67.79,50203930,1.35
RJ Barrett,SG,SG,23,43.6551724137931,31.70344827586207,72.24,56.8,74.68,63.77,67.3,25794643,2.61
LaMelo Ball,PG,PG,22,22.0,32.3,65.46,59.81,87.28,52.49,66.91,35147000,1.9
Jerami Grant,PF,PF,29,54.0,33.9,72.79,51.18,76.22,65.82,66.85,29793104,2.24
OG Anunoby,SF,SF,26,37.58,34.018,62.88,64.87,74.35,65.85,66.84,36637932,1.82
Brandon Miller,SF,SF,21,74.0,32.2,61.18,55.34,73.68,79.23,66.46,11424600,5.82
Rui Hachimura,PF,PF,25,68.0,26.9,75.81,54.72,67.37,64.64,66.19,17000000,3.89
Javonte Green,SF,SF,30,9.0,25.6,80.64,84.32,63.4,25.35,66.19,2328350,28.43
Zach LaVine,SG,SG,28,25.0,34.9,69.32,62.43,80.23,48.02,66.06,44531940,1.48
Anfernee Simons,SG,SG,24,46.0,34.4,68.87,39.92,84.07,71.79,66.02,25892857,2.55
Cam Thomas,SG,SG,22,66.0,31.4,74.35,41.77,74.76,72.58,65.95,4041249,16.32
Donte DiVincenzo,SG,SG,27,81.0,29.1,59.66,58.27,71.61,76.44,65.66,11445000,5.74
P.J. Washington,PF,PF,25,55.52054794520548,30.395890410958906,53.39,72.57,71.01,67.47,65.41,15500000,4.22
Al Horford,C,C,37,65.0,26.8,60.38,81.39,70.35,46.2,65.29,9500000,6.87
Darius Garland,PG,PG,24,57.0,33.4,56.92,47.63,82.96,77.01,65.13,36725670,1.77
Josh Giddey,SG,SG,21,80.0,25.1,51.5,73.06,69.4,69.96,65.06,8352367,7.79
Max Strus,SF,SF,27,70.0,32.0,47.88,57.03,77.56,82.54,64.52,15212068,4.24
Kelly Oubre Jr.,SF,SF,28,68.0,30.2,61.88,59.65,70.75,66.65,64.49,7983000,8.08
Bobby Portis,PF,PF,28,82.0,24.5,67.61,72.6,63.38,51.01,64.48,12578286,5.13
Keldon Johnson,SF,SF,24,69.0,29.5,64.83,54.87,73.35,64.76,64.46,19000000,3.39
Onyeka Okongwu,C,C,23,55.0,25.5,78.68,61.5,64.78,45.37,64.25,14000000,4.59
Bogdan Bogdanovic,SG,SG,31,79.0,30.4,63.49,51.33,75.19,67.56,64.19,17260000,3.72
Jonathan Kuminga,PF,PF,21,74.0,26.3,73.12,53.18,65.14,63.05,64.13,7636307,8.4
Kentavious Caldwell-Pope,SG,SG,30,76.0,31.6,58.0,53.64,72.93,75.09,64.06,22757000,2.81
